"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.577472082E0,-1.402500057E1,-4.486875153E1,-7.012500286E0,4.752978713E1
2.587472082E0,-1.423125076E1,-4.481250000E1,-7.125000477E0,4.755475041E1
2.597472082E0,-1.385625076E1,-4.458750153E1,-7.143750191E0,4.723424758E1
2.607472082E0,-1.365000057E1,-4.445625305E1,-7.425000191E0,4.709364691E1
2.617472082E0,-1.372500038E1,-4.447500229E1,-7.668750286E0,4.717214427E1
2.627472082E0,-1.381875038E1,-4.441875076E1,-7.687500477E0,4.714955933E1
2.637472082E0,-1.383750057E1,-4.440000153E1,-7.893750191E0,4.717147284E1
2.647472082E0,-1.378125095E1,-4.440000153E1,-8.081250191E0,4.718675257E1
2.657472082E0,-1.425000095E1,-4.451250076E1,-8.568750381E0,4.751682580E1
2.667472082E0,-1.415625095E1,-4.445625305E1,-8.887500763E0,4.749468966E1
2.677472082E0,-1.428750038E1,-4.440000153E1,-8.981250763E0,4.749900702E1
2.687472082E0,-1.449375057E1,-4.464375305E1,-8.775000572E0,4.775075002E1
2.697472082E0,-1.443750095E1,-4.449375153E1,-8.643750191E0,4.756942060E1
2.707472082E0,-1.438125038E1,-4.443750000E1,-8.643750191E0,4.749974933E1
2.717472082E0,-1.443750095E1,-4.438125229E1,-8.531250000E0,4.744385329E1
2.727472082E0,-1.423125076E1,-4.406250000E1,-8.437500000E0,4.706616418E1
2.737472082E0,-1.389375019E1,-4.393125153E1,-8.456250191E0,4.684548348E1
2.747472082E0,-1.378125095E1,-4.381875229E1,-8.362500191E0,4.668979909E1
2.757472082E0,-1.385625076E1,-4.408125305E1,-8.062500000E0,4.690582546E1
2.767472082E0,-1.383750057E1,-4.402500153E1,-8.062500000E0,4.684742349E1
2.777472082E0,-1.380000019E1,-4.411875153E1,-7.856250286E0,4.688949680E1
2.787472082E0,-1.387500095E1,-4.406250000E1,-7.800000191E0,4.684932828E1
2.797472082E0,-1.359375095E1,-4.406250000E1,-7.743750095E0,4.675745541E1
2.807472082E0,-1.378125095E1,-4.415625000E1,-7.612500191E0,4.687907263E1
2.817472082E0,-1.404375076E1,-4.425000000E1,-7.256250381E0,4.698874977E1
2.827472082E0,-1.411875057E1,-4.441875076E1,-7.181250095E0,4.715861417E1
2.837472082E0,-1.391250038E1,-4.415625000E1,-7.425000191E0,4.688776715E1
2.847472082E0,-1.368750095E1,-4.406250000E1,-7.350000381E0,4.672123815E1
2.857472082E0,-1.372500038E1,-4.400625229E1,-7.350000381E0,4.667920717E1
2.867472082E0,-1.363125038E1,-4.398750305E1,-7.387500286E0,4.663996754E1
2.877472082E0,-1.359375095E1,-4.387500000E1,-7.200000286E0,4.649350163E1
2.887472082E0,-1.357500076E1,-4.383750153E1,-7.350000381E0,4.647611958E1
2.897472082E0,-1.346250057E1,-4.370625305E1,-7.818750381E0,4.639621035E1
2.907472082E0,-1.348125076E1,-4.370625305E1,-7.593750477E0,4.636427207E1
2.917472082E0,-1.363125038E1,-4.380000305E1,-7.537500381E0,4.648725811E1
2.927472082E0,-1.389375019E1,-4.378125000E1,-7.612500191E0,4.655947063E1
2.937472082E0,-1.396875095E1,-4.381875229E1,-7.687500477E0,4.662946192E1
2.947472082E0,-1.383750057E1,-4.380000305E1,-7.668750286E0,4.656958686E1
2.957472082E0,-1.406250095E1,-4.383750153E1,-7.875000477E0,4.670648890E1
2.967472082E0,-1.393125057E1,-4.378125000E1,-7.762500286E0,4.659542901E1
2.977472082E0,-1.381875038E1,-4.370625305E1,-7.500000477E0,4.644829841E1
2.987472082E0,-1.400625038E1,-4.372500229E1,-7.706250191E0,4.655574258E1
2.997472082E0,-1.404375076E1,-4.376250076E1,-7.743750095E0,4.660846569E1
3.007472082E0,-1.415625095E1,-4.404375076E1,-7.537500381E0,4.687286352E1
3.017472082E0,-1.419375038E1,-4.417500305E1,-7.856250286E0,4.705968671E1
3.027472082E0,-1.419375038E1,-4.410000229E1,-7.875000477E0,4.699242901E1
3.037472082E0,-1.396875095E1,-4.393125153E1,-7.968750477E0,4.678228135E1
3.047472082E0,-1.400625038E1,-4.395000076E1,-8.156250000E0,4.684337766E1
3.057472082E0,-1.417500019E1,-4.415625000E1,-8.193750381E0,4.709397615E1
